neighborhood_id,kmean,kmean_qual,kmean_quant
DOUGLAS,4,6,7
OAKLAND,4,6,7
FULLER PARK,4,4,4
GRAND BOULEVARD,4,4,7
KENWOOD,4,4,7
LINCOLN SQUARE,6,6,6
WASHINGTON PARK,4,4,7
HYDE PARK,7,6,6
WOODLAWN,4,4,7
ROGERS PARK,2,6,6
JEFFERSON PARK,2,1,2
FOREST GLEN,2,4,3
NORTH PARK,2,1,2
ALBANY PARK,2,6,2
PORTAGE PARK,2,1,2
IRVING PARK,2,6,2
DUNNING,2,1,2
MONTCLARE,2,4,2
BELMONT CRAGIN,1,1,1
WEST RIDGE,2,4,2
HERMOSA,1,6,1
AVONDALE,2,6,2
LOGAN SQUARE,6,6,6
HUMBOLDT PARK,2,6,1
WEST TOWN,6,6,6
AUSTIN,4,4,4
WEST GARFIELD PARK,4,7,4
EAST GARFIELD PARK,4,6,7
NEAR WEST SIDE,6,6,6
NORTH LAWNDALE,4,4,4
UPTOWN,6,6,6
SOUTH LAWNDALE,1,6,1
LOWER WEST SIDE,1,6,1
NEAR SOUTH SIDE,7,6,6
ARMOUR SQUARE,2,4,5
NORWOOD PARK,2,1,3
NEAR NORTH SIDE,6,6,6
LOOP,7,6,6
SOUTH SHORE,4,4,4
CHATHAM,4,4,4
AVALON PARK,0,4,4
SOUTH CHICAGO,4,4,7
BURNSIDE,4,4,4
MCKINLEY PARK,1,6,1
LAKE VIEW,6,6,6
CALUMET HEIGHTS,0,4,4
ROSELAND,0,4,4
NORTH CENTER,6,6,6
PULLMAN,4,0,0
SOUTH DEERING,0,4,0
EAST SIDE,1,4,1
WEST PULLMAN,4,4,4
RIVERDALE,4,4,0
HEGEWISCH,2,2,2
GARFIELD RIDGE,2,1,2
ARCHER HEIGHTS,1,1,1
BRIGHTON PARK,1,6,1
BRIDGEPORT,2,6,2
NEW CITY,1,1,1
WEST ELSDON,1,1,1
GAGE PARK,1,4,1
CLEARING,5,5,2
WEST LAWN,1,1,1
CHICAGO LAWN,2,4,1
WEST ENGLEWOOD,4,1,4
ENGLEWOOD,4,4,4
GREATER GRAND CROSSING,4,4,4
LINCOLN PARK,6,6,6
ASHBURN,2,1,2
AUBURN GRESHAM,4,4,4
BEVERLY,4,4,3
WASHINGTON HEIGHTS,4,4,4
MOUNT GREENWOOD,2,4,3
MORGAN PARK,4,6,7
OHARE,2,4,2
EDGEWATER,6,6,6
EDISON PARK,3,3,3
